arbitrage_combination,ex1_to_ex2_arb_g,ex2_to_ex1_arb_g,no_arb_g,ex1_to_ex2_arb_train,ex2_to_ex1_arb_train,no_arb_train,ex1_to_ex2_arb_test,ex2_to_ex1_arb_test,no_arb_test
gemini_kraken_ltc_btc,0.11,0.07,0.82,0.11,0.07,0.82,0.19,0.05,0.77
gemini_hitbtc_ltc_btc,0.07,0.06,0.87,0.07,0.06,0.87,0.07,0.06,0.87
gemini_hitbtc_bch_btc,0.16,0.14,0.69,0.21,0.13,0.67,0.12,0.21,0.66
hitbtc_cbpro_eth_usdc,0.17,0.17,0.66,0.15,0.17,0.68,0.24,0.18,0.58
cbpro_bitfinex_ltc_usd,0.24,0.12,0.64,0.25,0.15,0.6,0.11,0.01,0.88
gemini_cbpro_ltc_btc,0.07,0.06,0.87,0.07,0.06,0.87,0.07,0.06,0.87
gemini_bitfinex_ltc_btc,0.07,0.06,0.86,0.07,0.06,0.87,0.08,0.06,0.87
gemini_bitfinex_bch_btc,0.16,0.16,0.68,0.21,0.14,0.65,0.12,0.24,0.65
bitfinex_hitbtc_bch_usdt,0.19,0.14,0.67,0.19,0.14,0.67,0.23,0.11,0.66
cbpro_bitfinex_eth_usd,0.21,0.12,0.67,0.2,0.15,0.65,0.17,0.01,0.83
bitfinex_cbpro_btc_usd,0.08,0.19,0.73,0.1,0.14,0.76,0.01,0.33,0.66
cbpro_gemini_bch_btc,0.15,0.16,0.7,0.12,0.21,0.67,0.21,0.11,0.67
bitfinex_cbpro_etc_usd,0.07,0.36,0.57,0.09,0.45,0.46,0.02,0.0,0.98
kraken_gemini_bch_btc,0.14,0.14,0.71,0.12,0.17,0.71,0.14,0.1,0.76
bitfinex_hitbtc_ltc_usdt,0.09,0.08,0.84,0.09,0.08,0.82,0.06,0.06,0.88
